Date,Open,High,Low,Close,Adj Close,Volume
2019-11-29,1.660000,1.660000,1.540000,1.610000,1.610000,32700
2019-12-02,1.580000,1.650000,1.500000,1.570000,1.570000,41000
2019-12-03,1.570000,1.580000,1.490000,1.530000,1.530000,24200
2019-12-04,1.550000,1.630000,1.530000,1.530000,1.530000,22700
2019-12-05,1.510000,1.620000,1.510000,1.560000,1.560000,14200
2019-12-06,1.540000,1.650000,1.540000,1.590000,1.590000,28000
2019-12-09,1.610000,1.650000,1.500000,1.550000,1.550000,37400
2019-12-10,1.520000,1.640000,1.520000,1.580000,1.580000,30700
2019-12-11,1.590000,1.650000,1.540000,1.650000,1.650000,25100
2019-12-12,1.590000,1.670000,1.570000,1.620000,1.620000,48900
2019-12-13,1.600000,1.600000,1.560000,1.590000,1.590000,28800
2019-12-16,1.570000,1.600000,1.400000,1.410000,1.410000,66600
2019-12-17,1.370000,1.470000,1.370000,1.430000,1.430000,23000
2019-12-18,1.400000,1.400000,1.290000,1.290000,1.290000,38300
2019-12-19,1.260000,1.320000,1.220000,1.220000,1.220000,56200
2019-12-20,1.230000,1.250000,1.040000,1.050000,1.050000,83600
2019-12-23,1.090000,1.270000,1.090000,1.100000,1.100000,68000
2019-12-24,1.100000,1.150000,1.100000,1.100000,1.100000,64300
2019-12-26,1.060000,1.220000,1.060000,1.180000,1.180000,84700
2019-12-27,1.180000,1.210000,1.150000,1.150000,1.150000,45500
2019-12-30,1.150000,1.170000,1.100000,1.130000,1.130000,172200
2019-12-31,1.150000,1.180000,1.100000,1.140000,1.140000,86800
2020-01-02,1.120000,1.340000,1.120000,1.310000,1.310000,35300
2020-01-03,1.310000,1.600000,1.310000,1.540000,1.540000,147800
2020-01-06,1.540000,1.550000,1.380000,1.450000,1.450000,73300
2020-01-07,1.350000,1.460000,1.350000,1.450000,1.450000,44500
2020-01-08,1.400000,1.450000,1.400000,1.400000,1.400000,19900
2020-01-09,1.430000,1.430000,1.400000,1.410000,1.410000,11800
2020-01-10,1.430000,1.430000,1.400000,1.400000,1.400000,13400
2020-01-13,1.360000,1.440000,1.360000,1.420000,1.420000,21600
2020-01-14,1.430000,1.480000,1.310000,1.370000,1.370000,37000
2020-01-15,1.340000,1.470000,1.340000,1.410000,1.410000,10900
2020-01-16,1.410000,1.420000,1.350000,1.400000,1.400000,17300
2020-01-17,1.410000,1.450000,1.340000,1.370000,1.370000,15400
2020-01-21,1.330000,1.460000,1.330000,1.450000,1.450000,7300
2020-01-22,1.400000,1.460000,1.370000,1.370000,1.370000,24800
2020-01-23,1.400000,1.400000,1.350000,1.350000,1.350000,26700
2020-01-24,1.350000,1.360000,1.330000,1.360000,1.360000,22100
2020-01-27,1.350000,1.370000,1.310000,1.310000,1.310000,22100
2020-01-28,1.340000,1.430000,1.340000,1.390000,1.390000,11900
2020-01-29,1.420000,1.420000,1.370000,1.390000,1.390000,4000
2020-01-30,1.370000,1.430000,1.360000,1.390000,1.390000,16400
2020-01-31,1.440000,1.440000,1.410000,1.430000,1.430000,3100
2020-02-03,1.400000,1.400000,1.310000,1.350000,1.350000,23800
