"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 11, 2020","93.625","93.630","93.750","93.185","0.29K","0.03%"
"Aug 10, 2020","93.594","93.455","93.695","93.330","0.15K","0.17%"
"Aug 07, 2020","93.432","92.810","93.620","92.810","0.18K","0.69%"
"Aug 06, 2020","92.788","92.805","93.105","92.500","0.27K","-0.09%"
"Aug 05, 2020","92.870","93.150","93.220","92.600","0.18K","-0.57%"
"Aug 04, 2020","93.398","93.600","93.815","93.230","0.16K","-0.14%"
"Aug 03, 2020","93.527","93.400","93.975","93.360","0.22K","0.20%"
"Jul 31, 2020","93.341","92.665","93.510","92.520","0.46K","0.34%"
"Jul 30, 2020","93.024","93.305","93.625","92.915","0.31K","-0.44%"
"Jul 29, 2020","93.437","93.730","93.730","93.120","0.19K","-0.23%"
"Jul 28, 2020","93.651","93.515","93.965","93.500","0.22K","0.05%"
"Jul 27, 2020","93.605","94.295","94.295","93.445","0.25K","-0.82%"
"Jul 24, 2020","94.377","94.735","94.735","94.230","0.19K","-0.28%"
"Jul 23, 2020","94.639","94.880","95.135","94.540","0.12K","-0.30%"
"Jul 22, 2020","94.922","95.070","95.360","94.765","0.21K","-0.13%"
"Jul 21, 2020","95.049","95.650","95.790","95.000","0.13K","-0.74%"
"Jul 20, 2020","95.762","95.855","96.115","95.675","0.05K","-0.11%"
"Jul 17, 2020","95.864","96.235","96.270","95.870","0.05K","-0.45%"
"Jul 16, 2020","96.294","95.985","96.300","95.850","0.08K","0.28%"
"Jul 15, 2020","96.025","96.090","96.160","95.790","0.11K","-0.18%"
"Jul 14, 2020","96.195","96.500","96.615","96.130","0.12K","-0.20%"
"Jul 13, 2020","96.388","96.435","96.580","96.210","0.09K","-0.21%"
"Jul 10, 2020","96.589","96.800","96.935","96.590","0.04K","-0.07%"
"Jul 09, 2020","96.653","96.375","96.760","96.185","0.07K","0.30%"
"Jul 08, 2020","96.368","96.960","96.960","96.355","0.05K","-0.49%"
"Jul 07, 2020","96.839","96.585","97.100","96.585","0.02K","0.16%"
"Jul 06, 2020","96.682","97.150","97.150","96.515","0.09K","-0.64%"
"Jul 03, 2020","97.302","97.155","97.320","97.155","0.03K","0.00%"
"Jul 02, 2020","97.302","97.150","97.290","96.745","0.14K","0.14%"
"Jul 01, 2020","97.165","97.310","97.580","97.035","0.05K","-0.20%"
"Jun 30, 2020","97.359","97.415","97.785","97.290","0.04K","-0.16%"
